SYMBOL,TOKEN,EXCHANGE,MARKET CAP,TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME
HUDCO,20825,NSE,Mid Cap,2024-12-31 12:15:00,233.74,236.37,233.00,234.84,3808326
HUDCO,20825,NSE,Mid Cap,2024-12-30 11:15:00,228.07,234.40,224.50,233.70,8489093
HUDCO,20825,NSE,Mid Cap,2024-12-27 14:30:00,228.66,229.64,225.00,228.19,1652251
HUDCO,20825,NSE,Mid Cap,2024-12-26 13:30:00,226.84,233.30,225.61,228.67,3357659
HUDCO,20825,NSE,Mid Cap,2024-12-24 11:30:00,236.63,236.70,226.16,226.90,3630276
HUDCO,20825,NSE,Mid Cap,2024-12-23 10:30:00,237.86,241.07,232.91,236.49,3455811
HUDCO,20825,NSE,Mid Cap,2024-12-20 13:45:00,246.10,246.82,236.10,237.75,4286391
HUDCO,20825,NSE,Mid Cap,2024-12-19 12:45:00,245.29,249.47,244.10,246.22,4562290
HUDCO,20825,NSE,Mid Cap,2024-12-18 11:45:00,252.10,252.18,239.62,245.50,5748707
HUDCO,20825,NSE,Mid Cap,2024-12-17 10:45:00,260.74,262.30,251.64,252.18,5696120
HUDCO,20825,NSE,Mid Cap,2024-12-16 09:45:00,247.88,262.70,247.56,260.70,19413550
HUDCO,20825,NSE,Mid Cap,2024-12-13 13:00:00,244.50,248.70,243.52,248.00,1819372
HUDCO,20825,NSE,Mid Cap,2024-12-12 12:00:00,247.45,249.25,238.00,244.45,5315551
HUDCO,20825,NSE,Mid Cap,2024-12-11 11:00:00,253.10,253.95,245.00,247.29,5928593
HUDCO,20825,NSE,Mid Cap,2024-12-10 10:00:00,248.00,256.00,246.95,253.25,12060415
HUDCO,20825,NSE,Mid Cap,2024-12-09 15:15:00,248.21,249.11,244.50,247.85,1666045
HUDCO,20825,NSE,Mid Cap,2024-12-06 12:15:00,246.19,251.33,244.52,248.19,8928857
HUDCO,20825,NSE,Mid Cap,2024-12-05 11:15:00,239.58,248.00,237.76,246.30,10767870
HUDCO,20825,NSE,Mid Cap,2024-12-04 10:15:00,241.28,244.05,237.86,239.60,8064061
HUDCO,20825,NSE,Mid Cap,2024-12-03 09:15:00,238.99,242.30,234.20,241.38,8024707
HUDCO,20825,NSE,Mid Cap,2024-12-02 14:30:00,237.08,238.90,237.08,238.90,1990306
HUDCO,20825,NSE,Mid Cap,2024-11-29 11:30:00,224.66,247.27,222.00,237.20,33114716
HUDCO,20825,NSE,Mid Cap,2024-11-28 10:30:00,236.67,236.67,223.50,224.74,15911302
HUDCO,20825,NSE,Mid Cap,2024-11-27 09:30:00,211.62,240.50,211.12,236.72,17363555
HUDCO,20825,NSE,Mid Cap,2024-11-26 14:45:00,213.45,213.79,210.88,211.60,770653
HUDCO,20825,NSE,Mid Cap,2024-11-25 13:45:00,216.09,219.00,212.11,213.64,4352810
HUDCO,20825,NSE,Mid Cap,2024-11-22 10:45:00,202.73,223.48,202.20,216.00,10592416
HUDCO,20825,NSE,Mid Cap,2024-11-21 09:45:00,201.90,204.35,199.10,202.65,3052329
HUDCO,20825,NSE,Mid Cap,2024-11-19 14:00:00,210.21,210.35,200.16,202.00,1626483
HUDCO,20825,NSE,Mid Cap,2024-11-18 13:00:00,205.24,214.21,203.00,210.23,3416525
HUDCO,20825,NSE,Mid Cap,2024-11-14 15:15:00,201.90,206.73,198.01,205.23,2736326
HUDCO,20825,NSE,Mid Cap,2024-11-13 14:15:00,202.85,208.79,200.00,201.84,4022422
HUDCO,20825,NSE,Mid Cap,2024-11-12 13:15:00,213.72,214.03,201.60,202.84,3366667
HUDCO,20825,NSE,Mid Cap,2024-11-11 12:15:00,218.51,219.50,213.35,213.89,2466817
HUDCO,20825,NSE,Mid Cap,2024-11-08 09:15:00,227.69,228.20,212.50,218.65,4825173
HUDCO,20825,NSE,Mid Cap,2024-11-07 14:30:00,226.55,228.27,226.03,227.00,660983
HUDCO,20825,NSE,Mid Cap,2024-11-06 13:30:00,226.58,231.38,225.50,226.64,4749388
HUDCO,20825,NSE,Mid Cap,2024-11-05 12:30:00,216.18,227.60,216.18,226.65,6191120
HUDCO,20825,NSE,Mid Cap,2024-11-04 11:30:00,214.33,222.21,213.75,216.19,5063069
HUDCO,20825,NSE,Mid Cap,2024-10-31 13:45:00,216.30,221.26,214.21,214.38,3658736
HUDCO,20825,NSE,Mid Cap,2024-10-30 12:45:00,218.53,219.29,214.50,216.43,4548353
HUDCO,20825,NSE,Mid Cap,2024-10-29 11:45:00,203.43,223.90,202.63,218.55,17965983
HUDCO,20825,NSE,Mid Cap,2024-10-28 10:45:00,197.90,205.90,197.50,203.40,6045435
HUDCO,20825,NSE,Mid Cap,2024-10-25 14:00:00,194.15,198.56,192.47,198.00,3317586
HUDCO,20825,NSE,Mid Cap,2024-10-24 13:00:00,207.08,208.07,193.50,194.13,5842698
HUDCO,20825,NSE,Mid Cap,2024-10-23 12:00:00,202.28,208.85,198.34,207.19,5667715
HUDCO,20825,NSE,Mid Cap,2024-10-22 11:00:00,202.38,205.80,194.00,202.29,7937690
HUDCO,20825,NSE,Mid Cap,2024-10-21 10:00:00,211.39,213.50,199.72,202.37,4950645
HUDCO,20825,NSE,Mid Cap,2024-10-18 13:15:00,214.87,217.39,210.65,211.49,1357687
HUDCO,20825,NSE,Mid Cap,2024-10-17 12:15:00,219.31,220.27,210.20,214.84,3222790
HUDCO,20825,NSE,Mid Cap,2024-10-16 11:15:00,225.16,225.70,219.17,219.47,2110241
HUDCO,20825,NSE,Mid Cap,2024-10-15 10:15:00,223.67,228.50,223.10,225.17,3114356
HUDCO,20825,NSE,Mid Cap,2024-10-14 09:15:00,223.64,227.62,222.05,223.63,3825977
