SYMBOL,TOKEN,EXCHANGE,MARKET CAP,TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME
RELIANCE,2885,NSE,Large Cap,2024-12-31 12:15:00,1211.90,1219.10,1210.05,1216.40,3443800
RELIANCE,2885,NSE,Large Cap,2024-12-30 11:15:00,1219.90,1223.05,1206.15,1211.75,9268423
RELIANCE,2885,NSE,Large Cap,2024-12-27 14:30:00,1223.20,1223.50,1214.55,1220.25,4064594
RELIANCE,2885,NSE,Large Cap,2024-12-26 13:30:00,1222.65,1227.90,1214.45,1223.30,11364197
RELIANCE,2885,NSE,Large Cap,2024-12-24 11:30:00,1232.45,1232.90,1218.75,1222.55,7695597
RELIANCE,2885,NSE,Large Cap,2024-12-23 10:30:00,1219.20,1233.30,1213.25,1232.25,9758980
RELIANCE,2885,NSE,Large Cap,2024-12-20 13:45:00,1217.45,1223.15,1201.60,1219.15,15049287
RELIANCE,2885,NSE,Large Cap,2024-12-19 12:45:00,1235.65,1239.50,1217.05,1217.35,15016564
RELIANCE,2885,NSE,Large Cap,2024-12-18 11:45:00,1254.95,1257.75,1234.55,1235.75,14340906
RELIANCE,2885,NSE,Large Cap,2024-12-17 10:45:00,1250.95,1259.95,1240.65,1254.65,16422060
RELIANCE,2885,NSE,Large Cap,2024-12-16 09:45:00,1278.00,1278.90,1248.00,1251.00,14652982
RELIANCE,2885,NSE,Large Cap,2024-12-13 13:00:00,1262.20,1281.00,1259.85,1277.90,12472436
RELIANCE,2885,NSE,Large Cap,2024-12-12 12:00:00,1267.45,1269.80,1239.65,1262.70,32233160
RELIANCE,2885,NSE,Large Cap,2024-12-11 11:00:00,1284.10,1288.00,1266.75,1267.40,14575144
RELIANCE,2885,NSE,Large Cap,2024-12-10 10:00:00,1290.75,1293.45,1280.20,1283.50,15687377
RELIANCE,2885,NSE,Large Cap,2024-12-09 15:15:00,1293.55,1296.90,1288.00,1290.90,4864964
RELIANCE,2885,NSE,Large Cap,2024-12-06 12:15:00,1316.05,1318.20,1293.50,1293.50,18318210
RELIANCE,2885,NSE,Large Cap,2024-12-05 11:15:00,1310.70,1329.95,1307.10,1316.10,16896804
RELIANCE,2885,NSE,Large Cap,2024-12-04 10:15:00,1317.80,1320.00,1304.10,1310.60,20955824
RELIANCE,2885,NSE,Large Cap,2024-12-03 09:15:00,1313.65,1326.90,1307.05,1317.75,18721456
RELIANCE,2885,NSE,Large Cap,2024-12-02 14:30:00,1308.25,1317.00,1306.25,1317.00,3225617
RELIANCE,2885,NSE,Large Cap,2024-11-29 11:30:00,1298.15,1309.60,1277.05,1308.30,16125704
RELIANCE,2885,NSE,Large Cap,2024-11-28 10:30:00,1295.10,1299.50,1269.30,1298.10,17828963
RELIANCE,2885,NSE,Large Cap,2024-11-27 09:30:00,1289.65,1303.85,1286.00,1295.05,11273681
RELIANCE,2885,NSE,Large Cap,2024-11-26 14:45:00,1295.35,1297.85,1286.15,1289.75,3359787
RELIANCE,2885,NSE,Large Cap,2024-11-25 13:45:00,1286.25,1297.60,1282.45,1295.25,22601095
RELIANCE,2885,NSE,Large Cap,2024-11-22 10:45:00,1234.30,1304.45,1229.70,1286.00,27643045
RELIANCE,2885,NSE,Large Cap,2024-11-21 09:45:00,1224.75,1242.20,1217.35,1233.95,20654100
RELIANCE,2885,NSE,Large Cap,2024-11-19 14:00:00,1271.85,1272.00,1220.20,1224.95,10046441
RELIANCE,2885,NSE,Large Cap,2024-11-18 13:00:00,1263.70,1281.45,1255.60,1271.95,14157998
RELIANCE,2885,NSE,Large Cap,2024-11-14 15:15:00,1267.95,1272.50,1243.90,1263.55,9093281
RELIANCE,2885,NSE,Large Cap,2024-11-13 14:15:00,1254.75,1272.60,1249.65,1268.00,15460749
RELIANCE,2885,NSE,Large Cap,2024-11-12 13:15:00,1276.10,1282.45,1251.50,1254.85,15050823
RELIANCE,2885,NSE,Large Cap,2024-11-11 12:15:00,1277.25,1289.30,1269.60,1276.40,10421282
RELIANCE,2885,NSE,Large Cap,2024-11-08 09:15:00,1299.00,1301.65,1267.00,1277.20,24271609
