Sr. No.,UNDERLYING,SYMBOL
1,ABB India Limited,ABB
2,ACC Limited,ACC
3,APL Apollo Tubes Limited,APLAPOLLO
4,AU Small Finance Bank Limited,AUBANK
5,Aarti Industries Limited,AARTIIND
6,Adani Energy Solutions Limited,ADANIENSOL
7,Adani Enterprises Limited,ADANIENT
8,Adani Green Energy Limited,ADANIGREEN
9,Adani Ports and Special Economic Zone Limited,ADANIPORTS
10,Adani Total Gas Limited,ATGL
11,Aditya Birla Capital Limited,ABCAPITAL
12,Aditya Birla Fashion and Retail Limited,ABFRL
13,Alkem Laboratories Limited,ALKEM
14,Ambuja Cements Limited,AMBUJACEM
15,Angel One Limited,ANGELONE
16,Apollo Hospitals Enterprise Limited,APOLLOHOSP
17,Apollo Tyres Limited,APOLLOTYRE
18,Ashok Leyland Limited,ASHOKLEY
19,Asian Paints Limited,ASIANPAINT
20,Astral Limited,ASTRAL
21,Aurobindo Pharma Limited,AUROPHARMA
22,Avenue Supermarts Limited,DMART
23,Axis Bank Limited,AXISBANK
24,BIRLASOFT LIMITED,BSOFT
25,BSE Limited,BSE
26,Bajaj Auto Limited,BAJAJ-AUTO
27,Bajaj Finance Limited,BAJFINANCE
28,Bajaj Finserv Limited,BAJAJFINSV
29,Balkrishna Industries Limited,BALKRISIND
30,Bandhan Bank Limited,BANDHANBNK
31,Bank of Baroda,BANKBARODA
32,Bank of India,BANKINDIA
33,Berger Paints (I) Limited,BERGEPAINT
34,Bharat Electronics Limited,BEL
35,Bharat Forge Limited,BHARATFORG
36,Bharat Heavy Electricals Limited,BHEL
37,Bharat Petroleum Corporation Limited,BPCL
38,Bharti Airtel Limited,BHARTIARTL
39,Biocon Limited,BIOCON
40,Bosch Limited,BOSCHLTD
41,Britannia Industries Limited,BRITANNIA
42,CESC Limited,CESC
43,CG Power and Industrial Solutions Limited,CGPOWER
44,Canara Bank,CANBK
45,Central Depository Services (India) Limited,CDSL
46,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
47,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
